people_id,name,first_name,middle_name,last_name,suffix,nickname,party_id,party,role_id,role,district,followthemoney_eid,votesmart_id,opensecrets_id,ballotpedia,knowwho_pid,committee_id
9060,"Maurice Hinchey",Maurice,D.,Hinchey,,,1,D,1,Rep,HD-NY-22,16567070,26989,N00001222,Maurice_Hinchey,158995,0
9061,"Mazie Hirono",Mazie,K.,Hirono,,,1,D,1,Rep,HD-HI-2,6401094,1677,N00028139,Mazie_Hirono,248294,0
9063,"Rush Holt",Rush,D.,Holt,,,1,D,1,Rep,HD-NJ-12,12447039,22574,N00000860,"Rush_D._Holt,_Jr.",158963,0
9064,"Michael Honda",Michael,M.,Honda,,,1,D,1,Rep,HD-CA-17,2053195,9674,N00012611,Mike_Honda,193052,0
9065,"Steny Hoyer",Steny,H.,Hoyer,,,1,D,1,Rep,HD-MD-5,5702081,26890,N00001821,Steny_Hoyer,158889,0
9066,"Steve Israel",Steve,,Israel,,,1,D,1,Rep,HD-NY-3,17657535,55440,N00013345,Steve_Israel,207705,0
9067,"Jesse Jackson",Jesse,L.,Jackson,Jr.,,1,D,1,Rep,HD-IL-2,17658667,72,N00012457,"Jesse_L._Jackson,_Jr.",158829,0
9068,"Sheila Jackson-Lee",Sheila,,Jackson-Lee,,,1,D,1,Rep,HD-TX-18,6716263,21692,N00005818,Sheila_Jackson_Lee,159088,0
9069,"Eddie Johnson",Eddie,Bernice,Johnson,,,1,D,1,Rep,HD-TX-30,17658377,27098,N00008122,Eddie_Bernice_Johnson,159100,0
9070,"Marcy Kaptur",Marcy,,Kaptur,,,1,D,1,Rep,HD-OH-9,3503114,27016,N00003522,Marcy_Kaptur,159009,0
9072,"Dale Kildee",Dale,E.,Kildee,,,1,D,1,Rep,HD-MI-5,13916768,26909,N00004070,Dale_Kildee,158903,0
9073,"Ron Kind",Ron,,Kind,,,1,D,1,Rep,HD-WI-3,15167032,630,N00004403,Ron_Kind,159128,0
9074,"Dennis Kucinich",Dennis,J.,Kucinich,,,1,D,1,Rep,HD-OH-10,6438662,318,N00003572,"Dennis_Kucinich_possible_presidential_campaign,_2016",159010,0
9075,"James Langevin",James,R.,Langevin,,,1,D,1,Rep,HD-RI-2,5029414,55787,N00009724,Jim_Langevin,207711,0
9076,"Rick Larsen",Rick,,Larsen,,,1,D,1,Rep,HD-WA-2,17657616,56231,N00009759,Rick_Larsen,124078,0
9077,"John Larson",John,B.,Larson,,,1,D,1,Rep,HD-CT-1,16565470,17188,N00000575,John_Larson_(Connecticut),158776,0
9078,"Barbara Lee",Barbara,,Lee,,,1,D,1,Rep,HD-CA-13,1263932,8315,N00008046,Barbara_Lee_(California),158726,0
9079,"Sander Levin",Sander,M.,Levin,,,1,D,1,Rep,HD-MI-9,782914,26918,N00003950,Sandy_Levin,158906,0
9080,"John Lewis",John,,Lewis,,,1,D,1,Rep,HD-GA-5,6942266,26820,N00002577,John_Lewis_(Georgia),158811,0
9081,"Daniel Lipinski",Daniel,,Lipinski,,,1,D,1,Rep,HD-IL-3,17658586,33692,N00027239,Daniel_Lipinski,226508,0
9082,"David Loebsack",David,,Loebsack,,,1,D,1,Rep,HD-IA-2,6321205,68964,N00027741,Dave_Loebsack,248296,0
9083,"Zoe Lofgren",Zoe,,Lofgren,,,1,D,1,Rep,HD-CA-19,761620,21899,N00007479,Zoe_Lofgren,158733,0
9084,"Nita Lowey",Nita,M.,Lowey,,,1,D,1,Rep,HD-NY-17,4674617,26982,N00001024,Nita_Lowey,158987,0
9085,"Stephen Lynch",Stephen,F.,Lynch,,,1,D,1,Rep,HD-MA-8,1819740,4844,N00013855,Stephen_Lynch,195035,0
9086,"Carolyn Maloney",Carolyn,B.,Maloney,,,1,D,1,Rep,HD-NY-12,17658243,26978,N00000078,Carolyn_Maloney,158983,0
9088,"Carolyn McCarthy",Carolyn,,McCarthy,,,1,D,1,Rep,HD-NY-4,17658703,693,N00001148,Carolyn_McCarthy,158973,0
9089,"Betty McCollum",Betty,,McCollum,,,1,D,1,Rep,HD-MN-4,6428407,3812,N00012942,Betty_McCollum,195933,0
9090,"Jim McDermott",Jim,,McDermott,,,1,D,1,Rep,HD-WA-7,3526222,140387,N00009829,Jim_McDermott_(Alaska),159123,0
9092,"Michael Michaud",Michael,H.,Michaud,,,1,D,1,Rep,HD-ME-2,6374097,6582,N00024770,Mike_Michaud,195388,0
9093,"Brad Miller",Brad,,Miller,,,1,D,1,Rep,HD-NC-13,13012654,10205,N00025093,Brad_Miller,196518,0
9095,"Gwen Moore",Gwen,,Moore,,,1,D,1,Rep,HD-WI-4,2653235,3457,N00026914,Gwen_Moore,199871,0
9096,"James Moran",James,P.,Moran,,,1,D,1,Rep,HD-VA-8,17657613,27118,N00002083,Jim_Moran,159111,0
9099,"Jerrold Nadler",Jerrold,,Nadler,,,1,D,1,Rep,HD-NY-10,17658246,26980,N00000939,Jerrold_Nadler,158977,0
